AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
42.9,1,1,5,13,1,53.5,81.1,0,7,3,3,1,Metz,55.2,2,,2020-10-18,1,1,431421,57.1,3,0,2,18,2,46.5,77.7,0,7,2,2,2,Angers,59.1,4,Ligue_1,1400
41.5,1,1,2,20,6,43.9,75.3,0,11,6,4,5,VVV-Venlo,64.7,3,,2020-10-17,2,2,431777,58.5,3,2,6,11,1,56.1,82.1,1,20,10,7,2,AZ Alkmaar,72.7,1,Eredivisie,1900
47.6,1,0,2,15,2,40.6,74.0,0,5,3,1,6,RKC Waalwijk,66.7,1,,2020-10-17,1,0,431779,52.4,6,0,6,20,2,59.4,86.4,0,24,12,6,0,Heracles Almelo,50.0,1,Eredivisie,1745
52.6,5,0,11,9,4,69.2,79.2,0,18,11,2,1,Ajax,70.0,1,,2020-10-04,0,1,431773,47.4,1,0,1,10,2,30.8,53.7,0,10,7,2,2,Groningen,46.2,0,Eredivisie,1115
34.8,2,4,3,7,1,41.0,71.4,0,16,6,8,9,FC Twente,84.6,1,,2020-10-17,3,0,431780,65.2,4,2,12,10,1,59.0,77.8,0,18,5,9,5,Willem II,73.3,3,Eredivisie,2000
75.0,1,1,3,17,2,50.7,80.0,0,12,6,5,3,PSV Eindhoven,58.3,2,,2020-10-18,3,0,431785,25.0,2,2,4,11,1,49.3,78.1,0,12,7,3,2,PEC Zwolle,60.9,2,Eredivisie,1545
36.4,4,1,3,15,4,33.8,73.7,0,16,7,5,6,Fortuna Sittard,55.6,1,,2020-10-18,2,2,431782,63.6,4,1,5,8,6,66.2,85.0,0,17,5,8,3,Emmen,50.0,2,Eredivisie,1900
61.1,3,2,9,14,2,30.8,74.1,0,9,1,5,0,Heerenveen,37.5,2,,2020-10-18,1,5,431778,38.9,4,1,5,10,1,69.2,88.4,0,16,7,5,4,Ajax,70.0,1,Eredivisie,1330
40.9,3,2,4,18,1,32.2,65.6,0,11,3,5,0,Sparta Rotterdam,57.7,1,,2020-10-18,1,1,431784,59.1,2,0,8,10,2,67.8,82.9,0,11,8,1,4,Feyenoord,81.3,3,Eredivisie,1115
39.3,5,0,3,7,1,45.0,80.6,1,20,7,8,4,Vitesse Arnhem,57.9,1,,2020-10-18,2,0,431781,60.7,1,2,3,15,1,55.0,83.3,0,11,6,4,6,ADO Den Haag,62.5,2,Eredivisie,1330
