web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600972994-516","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Nottingham - QPR","https://www.oddsportal.com/soccer/england/championship-2019-2020/nottingham-qpr-4xP00YWC/","Saturday, 22 Feb  2020, 14:00","Nottingham - QPR","2.04","3.60","3.62","Final result"
"1600973152-580","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Bristol City - Sheffield Wed","https://www.oddsportal.com/soccer/england/championship-2019-2020/bristol-city-sheffield-wed-C2zTMt1s/","Sunday, 28 Jun  2020, 11:00","Bristol City - Sheffield Wed","2.90","3.32","2.51","Final result"
"1600972132-173","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Swansea - Birmingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/swansea-birmingham-CMzbZQbn/","Sunday, 25 Aug  2019, 11:00","Swansea - Birmingham","1.78","3.77","4.61","Final result"
"1600972479-311","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Huddersfield - Birmingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/huddersfield-birmingham-8d8TD2Pu/","Saturday, 23 Nov  2019, 14:00","Huddersfield - Birmingham","2.77","3.09","2.79","Final result"
"1600972835-454","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Wigan - Sheffield Wed","https://www.oddsportal.com/soccer/england/championship-2019-2020/wigan-sheffield-wed-Graxgy7d/","Tuesday, 28 Jan  2020, 18:45","Wigan - Sheffield Wed","2.84","3.12","2.68","Final result"
"1600973050-539","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Millwall - Bristol City","https://www.oddsportal.com/soccer/england/championship-2019-2020/millwall-bristol-city-hI1CEOiN/","Saturday, 29 Feb  2020, 14:00","Millwall - Bristol City","1.86","3.47","4.56","Final result"
"1600972849-459","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Brentford - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/brentford-nottingham-Qi5h3LU3/","Tuesday, 28 Jan  2020, 18:45","Brentford - Nottingham","1.66","3.75","5.61","Final result"
"1600973351-660","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Luton - Blackburn","https://www.oddsportal.com/soccer/england/championship-2019-2020/luton-blackburn-IwSpUI90/","Wednesday, 22 Jul  2020, 18:30","Luton - Blackburn","1.94","3.66","3.87","Final result"
"1600972861-464","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Hull - Brentford","https://www.oddsportal.com/soccer/england/championship-2019-2020/hull-city-brentford-GfNacjbr/","Saturday, 01 Feb  2020, 11:30","Hull - Brentford","4.74","3.74","1.75","Final result"
"1600973065-545","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Middlesbrough - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/middlesbrough-nottingham-AgC7F4xH/","Monday, 02 Mar  2020, 18:45","Middlesbrough - Nottingham","2.66","3.10","2.87","Final result"
"1600972808-443","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Huddersfield - Brentford","https://www.oddsportal.com/soccer/england/championship-2019-2020/huddersfield-brentford-IRuFk204/","Saturday, 18 Jan  2020, 14:00","Huddersfield - Brentford","4.33","3.38","1.93","Final result"
